id_product,id_image,position,cover
224,2876,4,0
224,2877,5,0
228,3708,1,1
228,3709,2,0
228,3710,3,0
228,3711,4,0
228,3712,5,0
228,3713,6,0
228,3714,7,0
229,555,1,1
229,570,2,0
229,571,3,0
230,1550,1,0
230,1551,2,0
230,1552,3,0
230,3084,4,1
230,3085,5,0
230,3086,6,0
230,3087,7,0
240,600,1,0
240,601,2,0
240,602,3,0
240,603,4,1
240,604,5,0
242,2827,1,0
242,2828,2,0
242,2829,3,0
242,3878,4,0
242,3879,5,1
243,3382,1,0
243,3383,2,0
243,3686,3,0
243,3687,4,1
243,3688,5,0
243,3689,6,0
244,3510,1,0
244,3511,2,0
244,3512,3,0
244,3513,4,0
244,3515,5,0
244,3517,6,0
244,3622,7,1
244,3623,8,0
244,3624,9,0
244,3625,10,0
246,674,1,0
246,675,2,1
246,676,3,0
247,687,1,0
247,688,2,0
247,689,3,1
247,686,4,0
248,2208,1,0
248,2210,2,0
248,2211,3,0
248,2214,4,0
248,3815,5,0
248,3816,6,1
248,3817,7,0
248,3818,8,0
248,3819,9,0
248,3820,10,0
248,3821,11,0
249,2215,1,0
249,2216,2,1
249,2217,3,0
249,2218,4,0
249,2219,5,0
251,1992,1,0
251,1993,2,0
251,1994,3,0
251,3771,4,0
251,3772,5,1
251,3773,6,0
251,3774,7,0
252,1430,1,0
252,1431,2,0
252,1432,3,0
252,3312,4,1
252,3314,5,0
252,3315,6,0
252,3316,7,0
252,3317,8,0
252,3318,9,0
252,3321,10,0
253,775,1,0
253,776,2,0
253,777,3,1
253,778,4,0
255,825,1,0
255,846,2,0
255,878,3,0
255,879,4,1
255,880,5,0
255,906,6,0
256,826,1,0
256,827,2,0
256,828,3,1
257,829,1,0
257,830,2,1
257,831,3,0
257,832,4,0
257,833,5,0
258,3346,1,1
258,3347,2,0
258,3348,3,0
258,3349,4,0
258,3350,5,0
258,3351,6,0
259,851,1,1
259,852,2,0
259,853,3,0
260,854,1,0
260,855,2,0
260,856,3,0
260,857,4,0
260,858,5,1
261,3342,1,1
261,3343,2,0
261,3344,3,0
261,3345,4,0
262,2191,1,0
262,2192,2,0
262,2193,3,1
262,2194,4,0
262,2195,5,0
262,2196,6,0
262,2197,7,0
263,3272,1,1
263,3273,2,0
263,3552,3,0
263,3553,4,0
263,3554,5,0
264,1390,1,1
266,1525,1,1
267,3244,1,0
267,3245,2,1
268,1530,1,1
269,2140,1,1
269,2141,2,0
270,1460,1,1
270,1461,2,0
272,1528,1,1
273,1531,1,1
274,3581,1,1
274,3582,2,0
274,3583,3,0
274,3584,4,0
277,2118,1,0
277,2119,2,1
277,2120,3,0
278,1529,1,1
279,3443,1,0
279,3444,2,0
279,3498,3,1
280,3626,1,1
280,3627,2,0
280,3628,3,0
280,3629,4,0
281,1522,1,1
282,3497,1,1
283,2121,1,0
283,2122,2,1
288,3617,1,0
288,3618,2,0
288,3619,3,1
288,3620,4,0
288,3621,5,0
291,968,1,1
291,969,2,0
291,970,3,0
292,971,1,0
292,972,2,0
292,973,3,1
292,997,4,0
292,998,5,0
294,977,1,0
294,978,2,1
294,979,3,0
294,980,4,0
296,984,1,0
296,985,2,0
296,986,3,1
296,992,4,0
297,3151,1,0
297,3152,2,0
297,3153,3,0
297,3154,4,0
297,3155,5,0
297,3156,6,0
297,3157,7,0
297,3158,8,1
297,3159,9,0
297,3160,10,0
298,3068,1,0
298,3917,2,1
298,3918,3,0
298,3919,4,0
298,3920,5,0
298,3921,6,0
300,1957,1,1
300,1958,2,0
300,1959,3,0
300,1960,4,0
300,1961,5,0
300,1962,6,0
301,1014,1,1
301,1015,2,0
301,1016,3,0
302,1581,1,0
302,1582,2,0
302,1583,3,0
302,1584,4,0
302,1585,5,0
302,3127,6,1
302,3128,7,0
302,3129,8,0
302,3130,9,0
302,3131,10,0
304,3242,1,1
305,1028,1,1
306,1148,1,1
306,1149,2,0
306,1150,3,0
310,1120,1,0
310,1121,2,1
310,1122,3,0
310,1694,4,0
310,1695,5,0
312,3892,1,1
312,3246,2,0
312,3248,3,0
312,3249,4,0
312,3250,5,0
312,3251,6,0
313,2295,1,0
313,2296,2,0
313,2297,3,1
313,2298,4,0
313,2299,5,0
313,2300,6,0
313,2301,7,0
313,2302,8,0
314,3182,1,1
314,3183,2,0
314,3184,3,0
314,3185,4,0
314,3186,5,0
314,3187,6,0
315,3188,1,0
315,3189,2,1
315,3190,3,0
315,3191,4,0
315,3192,5,0
315,3193,6,0
315,3194,7,0
318,1174,1,1
318,1175,2,0
318,1176,3,0
318,1177,4,0
318,1178,5,0
319,1179,1,1
319,1180,2,0
319,1181,3,0
319,1182,4,0
319,1183,5,0
319,1184,6,0
319,1185,7,0
320,1186,1,1
320,1187,2,0
320,1188,3,0
320,1189,4,0
320,1190,5,0
320,1191,6,0
321,1192,1,1
321,1193,2,0
321,1194,3,0
321,1195,4,0
321,1196,5,0
321,1197,6,0
326,2770,1,1
326,2771,2,0
326,2772,3,0
326,2773,4,0
327,1291,1,1
327,1292,2,0
327,1293,3,0
327,1294,4,0
327,1295,5,0
327,1296,6,0
328,1306,1,0
328,1307,2,0
328,1308,3,0
328,1309,4,0
328,1310,5,0
328,1311,6,0
328,1312,7,0
328,1313,8,0
328,1314,9,0
328,1315,10,1
328,1321,11,0
329,1930,1,0
329,1931,2,0
329,1934,3,0
329,3412,4,1
329,3413,5,0
329,3414,6,0
329,3415,7,0
332,3207,1,0
332,3208,2,1
332,3241,3,0
336,1413,1,1
336,1411,2,0
336,1410,3,0
336,1412,4,0
337,1414,1,0
337,1415,2,1
337,1416,3,0
337,1417,4,0
338,3676,1,1
338,3677,2,0
338,3678,3,0
338,3679,4,0
338,3680,5,0
338,3681,6,0
339,3168,1,0
339,3169,2,1
339,3170,3,0
339,3171,4,0
339,3172,5,0
339,3173,6,0
340,3341,1,1
341,2572,1,0
341,2573,2,0
341,2574,3,0
341,2575,4,0
341,2576,5,0
341,2577,6,0
341,3231,7,1
341,3232,8,0
341,3233,9,0
341,3234,10,0
342,1663,1,1
342,1664,2,0
342,1665,3,0
342,1666,4,0
342,1667,5,0
342,1668,6,0
342,3145,7,0
342,3146,8,0
342,3147,9,0
342,3148,10,0
342,3149,11,0
342,3150,12,0
343,3557,1,0
343,3559,2,1
343,3560,3,0
343,3561,4,0
348,3481,1,1
348,3487,2,0
348,3488,3,0
348,3489,4,0
348,3490,5,0
348,3491,6,0
349,3492,1,1
349,3493,2,0
349,3494,3,0
349,3495,4,0
349,3496,5,0
351,1586,1,0
351,1587,2,1
351,1588,3,0
351,1589,4,0
351,1590,5,0
351,1591,6,0
352,1592,1,1
352,1593,2,0
352,1594,3,0
352,1595,4,0
352,1596,5,0
352,1597,6,0
352,1598,7,0
352,1599,8,0
352,1600,9,0
354,2936,1,1
354,2937,2,0
354,2938,3,0
354,2939,4,0
354,2940,5,0
354,2941,6,0
354,2942,7,0
354,2943,8,0
354,2944,9,0
354,2945,10,0
355,1655,1,1
355,1656,2,0
355,1657,3,0
355,1658,4,0
355,1659,5,0
355,1660,6,0
355,1661,7,0
355,1662,8,0
356,1689,1,0
356,1690,2,1
356,1691,3,0
356,1692,4,0
356,1693,5,0
357,3214,1,0
357,3682,2,0
357,3683,3,1
357,3684,4,0
357,3685,5,0
358,2063,1,1
358,2064,2,0
359,3807,1,1
359,3808,2,0
359,3809,3,0
359,3810,4,0
360,1891,1,0
